days_infectious_community,days_in_quar,days_in_extended_quar,days_in_isolation,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliant,FoI_max,integrated_FoI
1.42863230755687,6.99999999999999,0,0,0.1,2.4325000746026,8.89613223295425,1849,1,0,0,1,1.28225447323332e-11,5.30869431424024e-13
11.7959934473267,6.99999999999999,0,0,0.1,5.35299950567596,6.94299394165075,1956,0,1,0,1,0.000293149589016098,0.00136405015159297
13.5292036800489,6.99999999999999,0,0,0.1,8.11750776393688,8.71169591611203,2019,0,1,0,1,2.2636669370372e-05,0.000137984697240459
10.3172000447119,6.99999999999999,0,0,0.1,3.45469819595585,8.46250184875601,2039,0,1,0,1,0.0165363710365156,0.0695114241855099
6.98008470782267,6.99999999999999,0,0,0.1,6.09525849271946,8.4848262151032,2039,1,0,0,1,1.59944650891682,2.73879423759089
10.1357768613211,6.99999999999999,0,0,0.1,8.53065696989402,6.50511989142703,2039,0,1,0,1,5.66989155010337e-05,0.000283426095041919
7.97171854598724,6.99999999999999,0,0,0.1,6.65654676329586,5.21517178269138,2039,0,0,0,1,0.0112825733821839,0.044176991894436
0.375946977914838,6.99999999999999,0,0,0.1,3.67431556980311,8.4016314081117,2280,1,0,0,1,0.0176942143597348,4.970034263857e-05
2.28618915088107,3,0,9.99999999999998,0.1,10.1494512721896,8.83673787869143,2357,1,0,0,1,1.58658261881627e-09,1.81275764202212e-10
2.2239224663081,3,0,9.99999999999998,0.1,13.1403700299856,7.88355243632254,2427,1,0,0,1,0.000968019066117321,0.000119269568665354
0.0153503164269146,3,0,9.99999999999998,0.1,5.28304641792937,7.23230389849752,2513,0,0,0,1,3.58453732968983e-06,1.89640348881987e-11
0.471048357812233,1,4,9.99999999999998,0.1,5.6632879282577,9.1077604295545,2559,0,0,0,1,0.0353459989545584,0.000144441920857635
0.514229988013064,1,4,9.99999999999998,0.1,5.44320967642872,9.17102031158431,2701,0,0,0,1,0.00168876215287621,8.19118422635233e-06
1.65619228417152,3,4,9.99999999999998,0.1,7.39174940764077,8.66444287653071,2722,0,0,0,1,5.32399605817388e-06,3.10600673092045e-07
1.85374516735202,3,14,0,0.1,3.60193467576141,9.85181049159059,2795,0,0,0,1,2.98982437288669e-09,1.91787185587567e-10
3.49685856726448,6.99999999999999,0,0,0.1,4.68648948239284,8.21036908487162,2926,1,0,0,1,1.88548353834475e-21,6.12221819262307e-22
5.00804663408565,6.99999999999999,0,0,0.1,3.39283222076668,9.31521441331895,3072,1,0,0,1,0.0171891357715977,0.0109788202787698
0.0915155010010942,3,0,9.99999999999998,0.1,5.96738869499227,9.82412680600878,3084,1,0,0,1,0.00115642654552992,1.60835923622774e-07
0.687700186549172,3,0,9.99999999999998,0.1,9.08288370159687,9.00481648495228,3104,1,0,0,1,0.0147089978531165,0.000131713309038411
1.03192744086636,3,0,9.99999999999998,0.1,9.51021111964488,8.52171632122145,3111,1,0,0,1,0.391178585677502,0.00858769606212206
6.93175414913131,6.99999999999999,0,0,0.1,6.38874476950663,7.64300937962467,3203,1,1,0,1,0.0179198609851708,0.0360804735596623
2.16145634721906,6.99999999999999,0,0,0.1,3.19589882562865,6.8655575215904,3231,1,0,0,1,0.000134189366842148,1.83572944262201e-05
3.87115764159535,5.99999999999999,0,9.99999999999998,0.1,11.5264118507459,7.74474579084944,3321,0,0,0,1,0.0541778664887192,0.0241609590423477
0.496924561865544,3,4,9.99999999999998,0.1,6.26546923016877,9.93145533169673,3392,0,0,0,1,0.0671365178125904,0.000279690800592092
12.6635504044173,6.99999999999999,0,0,0.1,7.80287797152384,9.96067243289343,3647,0,1,0,1,0.000105834718833973,0.000599635667432226
0.702965279186401,3,0,9.99999999999998,0.1,5.73641163974442,8.96655363944195,3811,1,0,0,1,0.0543868614783272,0.000511735115601097
0.821258766835738,6.99999999999999,0,0,0.1,8.3903656854263,5.33089308140942,3937,1,0,0,1,0.631749012502363,0.0143595918223371
11.9465414704868,6.99999999999999,0,0,0.1,11.9078936106057,7.93864785988112,3973,1,0,0,1,0.0017987990113983,0.0108906338362481
1.7237345614538,3,0,9.99999999999998,0.1,10.8136156510941,8.01011891035962,4043,1,0,0,1,0.273604201132749,0.0190169098027664
0.130418376048715,1,4,9.99999999999998,0.1,5.58644999710259,8.64396837894609,4279,0,0,0,1,0.113680554827145,3.66313362363258e-05
